NACA0021 : [40panels,Half cosine x-spacing]
        1 -2.9143e-17                      
  0.99384   0.0015596                      
  0.97553   0.0061274                      
   0.9455    0.013389                      
  0.90451    0.022874                      
  0.85355    0.034017                      
  0.79389    0.046208                      
    0.727    0.058818                      
  0.65451    0.071201                      
  0.57822    0.082674                      
      0.5    0.092508                      
  0.42178    0.099939                      
  0.34549     0.10422                      
    0.273     0.10472                      
  0.20611       0.101                      
  0.14645    0.092895                      
 0.095492    0.080585                      
 0.054497    0.064516                      
 0.024472    0.045313                      
0.0061558    0.023631                      
        0           0                      
0.0061558   -0.023631                      
 0.024472   -0.045313                      
 0.054497   -0.064516                      
 0.095492   -0.080585                      
  0.14645   -0.092895                      
  0.20611      -0.101                      
    0.273    -0.10472                      
  0.34549    -0.10422                      
  0.42178   -0.099939                      
      0.5   -0.092508                      
  0.57822   -0.082674                      
  0.65451   -0.071201                      
    0.727   -0.058818                      
  0.79389   -0.046208                      
  0.85355   -0.034017                      
  0.90451   -0.022874                      
   0.9455   -0.013389                      
  0.97553  -0.0061274                      
  0.99384  -0.0015596                      
        1  2.9143e-17                      
